value	group
0.769799	Alpha
0.767997	Alpha
0.762965	Alpha
0.768025	Alpha
0.756151	Alpha
0.75732	Alpha
0.758534	Alpha
0.756665	Alpha
0.765511	Alpha
0.771726	Alpha
0.769664	Alpha
0.756497	Alpha
0.773622	Alpha
0.776195	Alpha
0.76375	Alpha
0.76554	Alpha
0.764482	Alpha
0.764818	Alpha
0.763262	Alpha
0.763626	Alpha
0.764139	Alpha
0.771116	Alpha
0.771692	Alpha
0.771882	Alpha
0.771015	Alpha
0.769868	Alpha
0.773249	Alpha
0.765154	Alpha
0.768752	Alpha
0.767964	Alpha
0.771477	Alpha
0.757957	Alpha
0.772485	Alpha
0.775681	Alpha
0.776606	Alpha
0.759553	Alpha
0.760686	Alpha
0.764144	Alpha
0.761893	Alpha
0.761811	Alpha
0.768208	Alpha
0.767169	Alpha
0.767365	Alpha
0.773508	Alpha
0.763452	Alpha
0.76528	Alpha
0.764555	Alpha
0.761366	Alpha
0.772373	Alpha
0.76819	Alpha
0.746433	Alpha
0.759802	Alpha
0.757945	Alpha
0.766039	Alpha
0.767681	Alpha
0.775485	Alpha
0.763178	Alpha
0.776485	Alpha
0.776697	Alpha
0.765612	Alpha
0.777871	Alpha
0.78088	Alpha
0.779587	Alpha
0.777537	Alpha
0.776567	Alpha
0.77383	Alpha
0.764694	Alpha
0.769075	Alpha
0.766742	Alpha
0.765683	Alpha
0.765771	Alpha
0.765184	Alpha
0.76041	Alpha
0.755841	Alpha
0.759914	Alpha
0.759487	Alpha
0.759376	Alpha
0.757371	Alpha
0.757082	Alpha
0.768006	Alpha
0.77319	Alpha
0.758088	Alpha
0.773713	Alpha
0.774829	Alpha
0.776102	Alpha
0.773503	Alpha
0.775204	Alpha
0.758038	Alpha
0.764458	Alpha
0.76047	Alpha
0.770618	Alpha
0.772277	Alpha
0.766782	Alpha
0.762476	Alpha
0.769746	Alpha
0.769837	Alpha
0.779807	Alpha
0.772816	Alpha
0.774267	Alpha
0.768605	Alpha
0.759298	Alpha
0.767658	Alpha
0.75746	Alpha
0.756103	Alpha
0.760137	Alpha
0.761701	Alpha
0.76422	Alpha
0.770949	Alpha
0.769251	Alpha
0.769858	Alpha
0.765706	Alpha
0.760036	Alpha
0.761654	Alpha
0.762864	Alpha
0.777116	Alpha
0.760845	Alpha
0.760294	Alpha
0.755936	Alpha
0.754069	Alpha
0.756114	Alpha
0.762018	Alpha
0.761663	Alpha
0.760555	Alpha
0.759569	Alpha
0.764031	Alpha
0.752789	Alpha
0.762657	Alpha
0.761673	Alpha
0.765577	Alpha
0.767156	Alpha
0.765013	Alpha
0.759977	Alpha
0.767407	Alpha
0.77257	Alpha
0.775213	Alpha
0.772277	Alpha
0.764159	Alpha
0.765521	Alpha
0.763748	Alpha
0.766034	Alpha
0.760929	Alpha
0.776792	Alpha
0.768656	Alpha
0.772313	Alpha
0.771871	Alpha
0.770301	Alpha
0.769401	Alpha
0.769537	Alpha
0.769306	Alpha
0.767402	Alpha
0.758577	Alpha
0.763993	Alpha
0.757965	Alpha
0.77577	Alpha
0.76267	Alpha
0.764674	Alpha
0.76858	Alpha
0.76443	Alpha
0.765333	Alpha
0.756798	Alpha
0.755351	Alpha
0.747081	Alpha
0.751029	Alpha
0.754154	Alpha
0.775345	Alpha
0.79075	Alpha
0.765968	Alpha
0.761481	Alpha
0.762983	Alpha
0.754589	Alpha
0.77175	Alpha
0.767806	Alpha
0.759317	Alpha
0.777842	Alpha
0.772898	Alpha
0.772909	Alpha
0.773606	Alpha
0.773926	Alpha
0.758537	Alpha
0.758908	Alpha
0.761215	Alpha
0.774176	Alpha
0.773421	Alpha
0.769596	Alpha
0.771759	Alpha
0.769938	Alpha
0.769141	Alpha
0.779667	Alpha
0.758784	Alpha
0.767065	Alpha
0.77163	Alpha
0.765782	Alpha
0.767955	Alpha
0.769732	Alpha
0.766329	Alpha
0.763952	Alpha
0.775483	Alpha
0.773435	Alpha
0.782593	Alpha
0.784105	Alpha
0.775651	Alpha
0.769756	Alpha
0.762756	Alpha
0.765288	Alpha
0.764452	Alpha
0.754237	Alpha
0.753254	Alpha
0.757086	Alpha
0.764609	Alpha
0.76231	Alpha
0.777311	Alpha
0.76893	Alpha
0.770479	Alpha
0.765496	Alpha
0.778387	Alpha
0.75681	Alpha
0.765271	Alpha
0.762266	Alpha
0.768758	Alpha
0.75539	Alpha
0.755533	Alpha
0.770769	Alpha
0.769092	Alpha
0.763995	Alpha
0.76234	Alpha
0.765514	Alpha
0.766931	Alpha
0.765279	Alpha
0.767212	Alpha
0.768371	Alpha
0.761046	Alpha
0.770963	Alpha
0.769408	Alpha
0.758677	Alpha
0.763524	Alpha
0.762417	Alpha
0.773483	Alpha
0.774499	Alpha
0.765287	Alpha
0.775173	Alpha
0.766262	Alpha
0.765314	Alpha
0.773582	Alpha
0.775438	Alpha
0.774852	Alpha
0.761688	Alpha
0.762345	Alpha
0.771337	Alpha
0.769146	Alpha
0.763568	Alpha
0.767025	Alpha
0.764889	Alpha
0.760096	Alpha
0.754408	Alpha
0.761643	Alpha
0.760312	Alpha
0.767079	Alpha
0.761272	Alpha
0.750226	Alpha
0.767528	Alpha
0.777981	Alpha
0.783411	Alpha
0.763969	Alpha
0.765823	Alpha
0.771741	Alpha
0.771904	Alpha
0.76749	Alpha
0.769749	Alpha
0.768449	Alpha
0.770211	Alpha
0.766639	Alpha
0.763536	Alpha
0.767806	Alpha
0.772785	Alpha
0.766464	Alpha
0.769047	Alpha
0.76879	Alpha
0.763643	Alpha
0.764819	Alpha
0.764117	Alpha
0.767348	Alpha
0.75838	Alpha
0.758276	Alpha
0.769148	Alpha
0.775298	Alpha
0.761768	Alpha
0.770215	Alpha
0.773233	Alpha
0.760123	Alpha
0.761533	Alpha
0.767789	Alpha
0.763195	Alpha
0.773279	Alpha
0.770838	Alpha
0.756885	Alpha
0.767736	Alpha
0.761277	Alpha
0.76676	Alpha
0.775782	Alpha
0.772996	Alpha
0.753424	Alpha
0.771655	Alpha
0.771216	Alpha
0.763784	Alpha
0.761646	Alpha
0.775583	Alpha
0.773832	Alpha
0.768271	Alpha
0.767015	Alpha
0.769764	Alpha
0.770712	Alpha
0.770997	Alpha
0.767369	Alpha
0.769005	Alpha
0.764461	Alpha
0.759308	Alpha
0.776723	Alpha
0.762354	Alpha
0.766631	Alpha
0.765518	Alpha
0.765355	Alpha
0.766297	Alpha
0.770277	Alpha
0.77095	Alpha
0.767081	Alpha
0.763095	Alpha
0.751407	Alpha
0.767187	Alpha
0.770374	Alpha
0.763148	Alpha
0.758603	Alpha
0.76221	Alpha
0.762865	Alpha
0.758354	Alpha
0.765137	Alpha
0.765757	Alpha
0.76824	Alpha
0.7668	Alpha
0.769389	Alpha
0.75962	Alpha
0.759092	Alpha
0.761438	Alpha
0.783638	Alpha
0.757911	Alpha
0.773052	Alpha
0.767369	Alpha
0.765364	Alpha
0.768912	Alpha
0.769222	Alpha
0.770555	Alpha
0.762843	Alpha
0.76812	Alpha
0.768629	Alpha
0.766262	Alpha
0.767298	Alpha
0.757112	Alpha
0.768431	Alpha
0.768764	Alpha
0.767026	Alpha
0.760511	Alpha
0.762738	Alpha
0.75229	Alpha
0.761667	Alpha
0.742867	Alpha
0.772652	Alpha
0.768181	Alpha
0.760091	Alpha
0.763089	Alpha
0.758695	Alpha
0.75936	Alpha
0.761075	Alpha
0.761007	Alpha
0.759287	Alpha
0.77518	Alpha
0.77578	Alpha
0.771771	Alpha
0.777813	Alpha
0.765951	Alpha
0.780479	Alpha
0.773762	Alpha
0.762318	Alpha
0.767117	Alpha
0.771924	Alpha
0.773738	Alpha
0.774338	Alpha
0.770399	Alpha
0.765802	Alpha
0.75178	Alpha
0.758992	Alpha
0.783667	Alpha
0.773736	Alpha
0.776433	Alpha
0.776863	Alpha
0.752404	Alpha
0.770764	Alpha
0.787103	Alpha
0.755675	Alpha
0.755166	Alpha
0.770698	Alpha
0.769329	Alpha
0.768598	Alpha
0.774019	Alpha
0.779512	Alpha
0.779335	Alpha
0.752173	Alpha
0.762183	Alpha
0.778707	Alpha
0.755277	Alpha
0.760028	Alpha
0.759026	Alpha
0.762142	Alpha
0.764798	Alpha
0.756943	Alpha
0.757555	Alpha
0.770102	Alpha
0.77085	Alpha
0.775543	Alpha
0.775333	Alpha
0.779027	Alpha
0.756022	Alpha
0.756936	Alpha
0.75932	Alpha
0.760612	Alpha
0.771307	Alpha
0.755377	Alpha
0.758629	Alpha
0.760916	Alpha
0.760969	Alpha
0.761535	Alpha
0.759065	Alpha
0.762474	Alpha
